0_Sample_Index	Sample_ID	Best_Tissue_ID	Fauna_ID	Shan_Fauna_Sample_Labeled_ID_20250218	Barcoding_Gene	Barcoding_Identity	Host_Taxonomy_NCBI	Coral_Microbiome	Sponge_Microbiome_Project_Shan	Sponge_Microbiome_Project	Hydrozoa_microbiome_project_Shan	Shan_comments_20250426	Mitochondrial_Contig_Blast	Mitochondrial_Contig_Blast_Identity	Sample_Short_Name	Segregation	Source	Source2	Scientific_Name_by_Morphology	Temporary_Name_by_Morphology	Mophospecies	Collect_Site	Collect_Depth	Longitude	Latitude	Collect_Date	Collect_Time	In_Situ	Note	Note2	Dissolved_O2_concentration
na	A1_08	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	A1_10	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	A1_11	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	A1_12_red	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	A1_12_white	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	A1_13	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	DG_Rep1	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	Haliclona cymaeformis	na	Bluff Island	na	22.316153	114.349532	5/12/2023	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	DG_Rep2	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	Haliclona cymaeformis	na	Bluff Island	na	22.316153	114.349532	5/12/2023	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	DG_Rep3	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	Haliclona cymaeformis	na	Bluff Island	na	22.316153	114.349532	5/12/2023	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
310	HM_05_02A	HM_05_02A	HM_05_02A	HM_05_02A	COI	na	no_hit	no	no	no	no	na	na	na	na	Host	Sponge	Sponge	na	na	p__Porifera;c__;o__;f__;g__;s__	na	na	na	na	na	na	na	na	not from DD Cruise	to_be_added
na	HM_SY716_3A	HM_SY716_3A	HM_SY716	HM_SY716	na	na	na	no	no	no	no	Hai ma sponge	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
308	HM_SY716_H1	HM_SY716_H1	HM_SY716_H1	HM_SY716_H1	na	na	na	no	no	no	no	na	na	na	na	Host	Sponge	Sponge	na	na	p__Porifera;c__;o__;f__;g__;s__	na	na	na	na	na	na	na	na	not from DD Cruise	to_be_added
309	HM_SY716_S1	HM_SY716_S1	HM_SY716_S1	HM_SY716_S1	na	na	na	no	no	no	no	na	na	na	na	Host	Sponge	Sponge	na	na	p__Porifera;c__;o__;f__;g__;s__	na	na	na	na	na	na	na	na	not from DD Cruise	to_be_added
311	HM_SY716_spg3A	HM_SY716_3A	HM_SY716_3A	HM_SY716_3A	na	na	na	no	no	no	no	na	na	na	na	Host	Sponge	Sponge	na	na	p__Porifera;c__;o__;f__;g__;s__	na	na	na	na	na	na	na	na	not from DD Cruise	to_be_added
12	JL300_B01_1	JL300_B01_1	JL300_B01_1	JL300__B01-1	Mitochondrial contigs Blast	86.67	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Antipatharia;f__Antipathidae;g__Leiopathes;s__	no	no	no	no	These are black corals	Leiopathes montana	86.67	black coral	Host	Coral	Coral	Antipathidae	aff. Antipathes sp. 1	p__Cnidaria;c__Hexacorallia;o__Antipatharia;f__Antipathidae;g__aff. Antipathes;s__	S05	1898.4	148.701676	23.799626	18/8/2024	08:44	no	glass sponge (with black coral co-bionts)	barcode differs mophospecies (genus level)	to_be_added
13	JL300_B01_2	JL300_B01_2	JL300_B01_1	JL300__B01-1	Mitochondrial contigs Blast	86.67	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Antipatharia;f__Antipathidae;g__Leiopathes;s__	no	no	no	no	These are black corals	Leiopathes montana	86.67	black coral	Host	Coral	Coral	Antipathidae	aff. Antipathes sp. 1	p__Cnidaria;c__Hexacorallia;o__Antipatharia;f__Antipathidae;g__aff. Antipathes;s__	S05	1898.4	148.701676	23.799626	18/8/2024	08:44	no	glass sponge (with black coral co-bionts)	barcode differs mophospecies (genus level)	to_be_added
14	JL300_B01_3	JL300_B01_3	JL300_B01_1	JL300__B01-1	Mitochondrial contigs Blast	86.67	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Antipatharia;f__Antipathidae;g__Leiopathes;s__	no	no	no	no	These are black corals	Leiopathes montana	86.67	black coral	Host	Coral	Coral	Antipathidae	aff. Antipathes sp. 1	p__Cnidaria;c__Hexacorallia;o__Antipatharia;f__Antipathidae;g__aff. Antipathes;s__	S05	1898.4	148.701676	23.799626	18/8/2024	08:44	no	glass sponge (with black coral co-bionts)	barcode differs mophospecies (genus level)	to_be_added
2	JL300_B03_1	JL300_B03_1	JL300_B03	JL300__B03	28S	100	d__Eukaryota;k__Metazoa;p__Echinodermata;c__Crinoidea;sc__Articulata;o__Isocrinida;f__;g__;s__	no	no	no	no	na	na	na	na	Host's attachment (arm part)	Crinoid	Crinoid	Proisocrinus ruberrimus 	Proisocrinus ruberrimus 	p__Echinodermata;c__Crinoidea;o__Isocrinida;f__Balanocrinidae;g__Proisocrinus;s__	S15	1709	148.715853	23.806132	18/8/2024	10:40	no	Proisocrinus crinoid sea lily bright orange-red (vermillon)	na	to_be_added
3	JL300_B03_2	JL300_B03_2	JL300_B03	JL300__B03	28S	100	d__Eukaryota;k__Metazoa;p__Echinodermata;c__Crinoidea;sc__Articulata;o__Isocrinida;f__;g__;s__	no	no	no	no	na	na	na	na	Host's attachment (arm part)	Crinoid	Crinoid	Proisocrinus ruberrimus 	Proisocrinus ruberrimus 	p__Echinodermata;c__Crinoidea;o__Isocrinida;f__Balanocrinidae;g__Proisocrinus;s__	S15	1709	148.715853	23.806132	18/8/2024	10:40	no	Proisocrinus crinoid sea lily bright orange-red (vermillon)	na	to_be_added
4	JL300_B04_2	JL300_B04_2	JL300_B04	JL300__B04	28S	99.75	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Malacalcyonacea;f__Victorgorgiidae;g__Victorgorgia;s__	yes	no	no	no	na	Discophyton rudyi(wrong)	97.55(wrong)	coral	Host	Coral	Coral	Victorgorgia	na	p__Cnidaria;c__Octocorallia;o__Malacalcyonacea;f__Victorgorgiidae;g__;s__	S16	1421.4	148.720199	23.807872	18/8/2024	11:09	no	Victorgorgia purple octocoral (with Euryalidae ophiuroid co-biont)	barcode differs mophospecies (family level)	to_be_added
5	JL300_B05	JL300_B05	JL300_B05	JL300__B05	Mitochondrial contigs Blast	98.38	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Primnoidae;g__Calyptrophora;s__	yes	no	no	no	na	Abyssoprimnoa gemina	98.38	coral	Host	Coral	Coral	Primnoidae	na	p__Cnidaria;c__Octocorallia;o__Scleralcyonacea;f__Primnoidae;g__;s__	S22	1068.8	148.728141	23.811367	18/8/2024	12:25	no	"big pink Prinnoidae coral with Euryaliidae ophiuroid,  or S22?"	barcode equals to mophospecies	to_be_added
6	JL300_B06_1	JL300_B06_1	JL300_B06	JL300__B06	na	na	na	no	no	no	no	na	na	na	na	Host's attachment (digestive glands part)	Seastar	Seastar	Myxasteridae	Myxasteridae gen. sp. 1	p__Echinodermata;c__Asteroidea;o__Velatida;f__Myxasteridae;g__;s__	S12	1767.8	148.714258	23.805585	18/8/2024	10:18	yes	seastar	na	to_be_added
7	JL300_B13	JL300_B13	JL300_B13	JL300__B13	Mitochondrial contigs Blast	99.76	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia;s__	no	no	no	no	na	Chrysogorgia tricaulis	99.76	coral	Host	Coral	Coral	Chrysogorgia	na	p__Cnidaria;c__Octocorallia;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia;s__	S07	1892.4	148.703923	23.802539	18/8/2024	09:08	no	octocoral	barcode equals to mophospecies	to_be_added
8	JL300_B15	JL300_B15	JL300_B15	JL300__B15	meta_COI	99.85	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Keratoisididae;g__;s__	no	no	no	no	na	na	na	na	Host	Coral	Coral	Keratoisididae	na	p__Cnidaria;c__Octocorallia;o__Scleralcyonacea;f__Keratoisididae;g__;s__	S20	1138.2	148.72443	23.810046	18/8/2024	11:53	no	bamboo coral	no due to the total reads less than 2w	to_be_added
16	JL300_B18	JL300_B18	JL300_B18	JL300__B18	meta_COI	100	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Coralliidae;g__Paragorgia;s__	no	no	no	no	na	na	na	na	Host	Coral	Coral	Coralliidae	na	p__Cnidaria;c__Octocorallia;o__Scleralcyonacea;f__Coralliidae;g__;s__	S01	1923.2	148.701432	23.799253	18/8/2024	08:28	no	red coral	no due to the total reads less than 2w	to_be_added
10	JL300_B21	JL300_B21	JL300_B21	JL300__B21	meta_COI	100	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Primnoidae;g__Calyptrophora;s__	yes	no	no	no	na	na	na	na	Host	Coral	Coral	Primnoidae	na	p__Cnidaria;c__Octocorallia;o__Scleralcyonacea;f__Primnoidae;g__;s__	S04	1818.7	148.701693	23.799626	18/8/2024	08:41	no	octocoral salmon color	no barcod yet	to_be_added
9	JL300_B26	JL300_B26	JL300_B26	JL300__B26	na	na	na	no	no	no	no	na	na	na	na	Host contaminated (with sediment)	Sponge	Sponge_plus_Sediment	Euplectellidae	cf. Regadrella sp. 	p__Porifera;c__Hexactinellida;o__Lyssacinosida;f__Euplectellidae;g__cf. Regadrella;s__	na	na	148.701693	23.799626	18/8/2024	na	no	"sponge (Regardella sp.), sieved from the box, not recored in sheet by diver"	need assembly	to_be_added
18	JL301_B01_1	JL301_B01_1	JL301_B01	JL301__B01	na	na	na	no	no	no	no	na	na	na	na	Host contaminated (with sediment)	Sponge	Sponge_plus_Sediment	na	na	p__Porifera;c__Hexactinellida;o__;f__;g__;s__	S17	2978	148.810612	23.875779	19/8/2024	14:51	no	"Dead sponge with some alive sponge, tissues labelled R01-1"	need assembly	to_be_added
19	JL301_B08	JL301_B08	JL301_B08	JL301__B08	meta_COI	100	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Primnoidae;g__Narella;s__Narella versluysi	yes	no	no	no	na	na	na	na	Host	Coral	Coral	Primnoidae	na	p__Cnidaria;c__Octocorallia;o__Scleralcyonacea;f__Primnoidae;g__;s__	S16	2039	148.811377	23.81534	19/8/2024	14:26	yes	coral long pale pink	barcode equals to mophospecies	to_be_added
na	JL302_B03_4	JL302_B03_4	JL302_B03	JL302__B03	na	na	na	no	no	no	no	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
24	JL302_B04	JL302_B04	JL302_B04	JL302__B04	28S	99.76	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	no	yes	no	no	"I added this to ""Sponge_Microbiome_Project"""	na	na	na	Host contaminated (with polyps)	Sponge	Sponge_plus_Polyps	Farreidae	Farreidae Ind. sp. 1	p__Porifera;c__Hexactinellida;o__Sceptrulophora;f__Farreidae;g__;s__	S24	1055	148.792594	23.814958	20/8/2024	13:53	no	complete glass sponge (plus hydrozoa plus ophiuroid plus polychaete)	barcode differs mophospecies (phylum level)	to_be_added
43	JL302_B05_1	JL303_B05_1	JL303_B05_1	JL303__B05-1	28S	100	d__Eukaryota;k__Metazoa;p__Echinodermata;uc__Asterozoa;c__Ophiuroidea;sc__Ophiuridea;o__Euryalida;f__Asteroschematidae;g__Asteroschema;s__	no	no	no	no	na	na	na	na	Host's attachment (arm part)	Ophiuroid	Ophiuroid	Euryalidae	na	p__Echinodermata;c__Ophiuroidea;o__Euryalida;f__Euryalidae;g__;s__	S12	1428.5	148.749837	23.858999	22/8/2024	13:22	no	"blue coral with ophiuroid in geology box, from geology box"	na	to_be_added
44	JL302_B05_2	JL303_B05_2	JL303_B05	JL303__B05	28S	100	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Malacalcyonacea;f__Plexauridae;g__Paramuricea;s__	yes	no	no	no	na	Paramuricea sp. ANT49	99.65	coral	Host	Coral	Coral	Plexauridae	na	p__Cnidaria;c__Octocorallia;o__Malacalcyonacea;f__Plexauridae;g__;s__	S12	1428.5	148.749837	23.858999	22/8/2024	13:22	no	"blue coral with ophiuroid in geology box, from geology box"	barcode equals to mophospecies	to_be_added
25	JL302_B05_3	JL303_B05_3	JL302_B05	JL302__B05	28S	100	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	no	yes	no	no	"I added this to ""Sponge_Microbiome_Project"""	na	na	na	Host contaminated (with polyps)	Sponge	Sponge_plus_Polyps	Farreidae	Farreidae Ind. sp. 1	p__Porifera;c__Hexactinellida;o__Sceptrulophora;f__Farreidae;g__;s__	S26	1047	148.791471	23.815019	20/8/2024	14:12	no	"glass sponge (broken, plus polychaete plus polyps)"	barcode differs mophospecies (phylum level)	to_be_added
31	JL302_B14	JL302_B14	JL302_B14	JL302__B14	28S	100	d__Eukaryota;k__Metazoa;p__Echinodermata;c__Crinoidea;sc__Articulata;o__Isocrinida;f__Proisocrinidae;g__Proisocrinus;s__	no	no	no	no	na	na	na	na	Host's attachment (arm part)	Crinoid	Crinoid	Proisocrinus ruberrimus	Proisocrinus ruberrimus	p__Echinodermata;c__Crinoidea;o__Isocrinida;f__Balanocrinidae;g__Proisocrinus;s__	S16	1550	148.803092	23.915871	20/8/2024	11:36	no	Big crinoid	na	to_be_added
32	JL302_B15	JL302_B15	JL302_R01_1	JL302__R01-1	Mophospecies	98.73	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Malacalcyonacea;f__Victorgorgiidae;g__;s__	no	no	no	no	na	na	na	na	Host	Coral	Coral	Victorgorgia	na	p__Cnidaria;c__Octocorallia;o__Malacalcyonacea;f__Victorgorgiidae;g__;s__	S14	1612.6	148.804183	23.816089	20/8/2024	11.19	no	na	barcode equals to mophospecies after correction	to_be_added
33	JL302_B16_2	JL302_B16_2	JL302_B16	JL302__B16	meta_COI	97.46	d__Eukaryota;k__Metazoa;p__Porifera;c__Hexactinellida;sc__Hexasterophora;o__Lyssacinosida;f__Rossellidae;g__Caulophacus;s__	no	no	no	no	"I added this to ""Sponge_Microbiome_Project"", ignored as it is marked as Sponge_plus_Sediment"	na	na	na	Host contaminated (with sediment)	Sponge	Sponge_plus_Sediment	Caulophacus	Caulophacus sp. 2	p__Porifera;c__Hexactinellida;o__Lyssacinosida;f__Rossellidae;g__Caulophacus;s__	S07	1817	148.808138	23.815338	20/8/2024	09:48	no	Caulophacus sponge	need assembly	to_be_added
34	JL302_B17_1	JL302_B17_1	JL302_B17	JL302__B17	na	na	na	no	no	no	no	na	na	na	na	Host's attachment (arm part)	Seastar	Seastar	Brisinga	Brisinga sp. 1	p__Echinodermata;c__Asteroidea;o__Brisingida;f__Brisingidae;g__Brisinga;s__	S22	1111	148.79598	23.814142	20/8/2024	13:28	no	Brisingida starfish	na	to_be_added
35	JL302_B17_2	JL302_B17_2	JL302_B17	JL302__B17	na	na	na	no	no	no	no	na	na	na	na	Host's attachment (arm part)	Seastar	Seastar	Brisinga	Brisinga sp. 1	p__Echinodermata;c__Asteroidea;o__Brisingida;f__Brisingidae;g__Brisinga;s__	S22	1111	148.79598	23.814142	20/8/2024	13:28	no	Brisingida starfish	na	to_be_added
37	JL302_B19_2	JL302_B19_2	JL302_B19	JL302__B19	28S	98.73	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Malacalcyonacea;f__;g__;s__	no	no	no	no	repetitive: JL302_B19_2 is same of JL302_B19	na	na	na	Host	Sponge	Sponge	Porifera	na	p__Porifera;c__;o__;f__;g__;s__	S15	1612	148.804167	23.816089	20/8/2024	11:27	no	rock with sponge encrusted	barcode differs mophospecies (phylum level)	to_be_added
39	JL302_B30	JL302_B15_1	JL302_B15	JL302__B15	tree_placement	99.69	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia;s__	no	no	no	no	na	na	na	na	Host	Coral	Coral	Plexauridae	na	p__Cnidaria;c__Octocorallia;o__Malacalcyonacea;f__Plexauridae;g__;s__	S22	1111	148.79598	23.814142	20/8/2024	13:28	no	Octocoral yellowish	barcode equals to mophospecies after correction	to_be_added
40	JL302_B31	JL302_B03	JL302_B03	JL302__B03	Mophospecies	na	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Primnoidae;g__;s__	no	no	no	no	na	na	na	na	Host	Coral	Coral	Primnoidae	na	p__Cnidaria;c__Octocorallia;o__Scleralcyonacea;f__Primnoidae;g__;s__	S09	1782	148.80752	23.815485	20/8/2024	10:03	no	"octocoral (plus ophiuroid plus anemone), anemone not actual co-biont; it is from S10"	no barcod yet	to_be_added
41	JL302_B32	JL302_B02	JL302_B02	JL302__B02	meta_COI	100	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Malacalcyonacea;f__Plexauridae;g__Swiftia;s__Swiftia simplex	no	no	no	no	na	Leptogorgia sarmentosa	98.03	coral	Host	Coral	Coral	Coralliidae	na	p__Cnidaria;c__Octocorallia;o__Scleralcyonacea;f__Coralliidae;g__;s__	S14	1613	148.804183	23.816089	20/8/2024	11:19	no	red coral (plus ophiuroid)	barcode differs mophospecies (order level)	to_be_added
54	JL303_B01	JL303_B01	JL303_B01	JL303__B01	meta_COI	100	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Antipatharia;f__Schizopathidae;g__Bathypathes;s__	no	no	no	no	na	na	na	na	Host	Coral	Coral	Primnoidae	na	p__Cnidaria;c__Octocorallia;o__Scleralcyonacea;f__Primnoidae;g__;s__	S02	2034.7	148.741569	23.868237	22/8/2024	08:57	no	"big pink coral, from geology box"	no barcod yet	to_be_added
56	JL303_B08	JL303_B08	JL303_B08	JL303__B08	tree_placement	100	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Antipatharia;f__Schizopathidae;g__Bathypathes;s__	no	no	no	no	na	Churabana kuroshioae	97.68	coral	Host	Coral	Coral	Coralliidae	na	p__Cnidaria;c__Octocorallia;o__Scleralcyonacea;f__Coralliidae;g__;s__	S05	2025.3	148.74152	23.868115	22/8/2024	09:32	no	pink small coral plus ophiuroid	barcode equals to mophospecies after correction	to_be_added
58	JL303_B12_3	JL303_B12_3	JL303_B12	JL303__B12	28S	84.32	d__Eukaryota;k__Metazoa;p__Nematoda;c__Enoplea;sc__Enoplia;o__Enoplida;so__Ironina;uf__Ironoidea;f__Oxystominidae;sf__Halalaiminae;g__Halalaimus;s__	no	no	no	no	repetitive: JL303_B12_3(RNAlater _________Andreu________________B03__________B12_______/_______B15	Tabachnickia sp.	72.69	sponge	Host	Sponge	Sponge	Poliopogon	Poliopogon sp. 1	p__Porifera;c__Hexactinellida;o__Amphidiscosida;f__Pheronematidae;g__Poliopogon;s__	S03	2027.8	148.741553	23.868184	22/8/2024	09:15	no	polypogon sponge	barcode differs mophospecies (phylum level)	to_be_added
59	JL303_B13	JL303_B13	JL303_B13	JL303__B13	meta_COI	100	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Malacalcyonacea;f__;g__;s__	no	no	no	no	na	na	na	na	Host	Coral	Coral	Victorgorgia	na	p__Cnidaria;c__Octocorallia;o__Malacalcyonacea;f__Victorgorgiidae;g__;s__	S12	1428.5	148.749837	23.858999	22/8/2024	13:22	no	purple coral plus ophiuroid	barcode equals to mophospecies	to_be_added
60	JL303_B15	JL303_B15	JL303_B15	JL303__B15	28S	100	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Malacalcyonacea;f__Plexauridae;g__Paramuricea;s__	no	no	no	no	na	Paramuricea macrospina	99.61	coral	Host	Coral	Coral	Plexauridae	na	p__Cnidaria;c__Octocorallia;o__Malacalcyonacea;f__Plexauridae;g__;s__	S12	1428.5	148.749837	23.858999	22/8/2024	13:22	no	yellow-white coral	barcode equals to mophospecies	to_be_added
61	JL303_B16	JL303_B16	JL303_B16	JL303__B16	28S	99.53	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Antipatharia;f__Schizopathidae;g__Bathypathes;s__	yes	no	no	no	na	na	na	na	Host	Coral	Coral	Bathypathes	Bathypathes sp. 2	p__Cnidaria;c__Hexacorallia;o__Antipatharia;f__Schizopathidae;g__Bathypathes;s__	S12	1428.5	148.749837	23.858999	22/8/2024	13:22	no	"black coral feather like some polyps missing, from geology box"	barcode equals to mophospecies	to_be_added
63	JL303_B19_2	JL303_B19_2	JL303_B19_1	JL303__B19-1	28S	86.08	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Hydrozoa;sc__Hydroidolina;o__Leptothecata;f__Haleciidae;g__Halecium;s__	no	no	no	yes	"I added this to ""Hydrozoa_microbiome_project"""	na	na	na	Host's attachment (whole part)	Hydrozoa	Hydrozoa	na	na	p__Cnidaria;c__;o__;f__;g__;s__	S13	1276.4	148.749984	23.858828	22/8/2024	14:07	no	sponge plus hydrozoa?	na	to_be_added
